state,elderly_mode,school_mode,mask,ILIp,pca_1,date,resid_av7,unweighted_ili,Hospitalization_weeklysum,Hospitalization_weeklyave,Hospitalization_weeklysum_pop
TN,3.0,3.0,0.3062,0.0,-10.554794578408575,2020-05-03,10.4285714285714,1.17962,,,
TX,3.0,3.0,0.5977,0.0001320325399999,-29.877535894584216,2020-05-03,14.7142857142857,1.24559,,,
UT,1.0,3.0,0.3628,0.0,-28.249405234669997,2020-05-03,12.5714285714286,1.02405,,,
VA,1.0,3.0,0.4533,0.0,-42.49275788982769,2020-05-03,16.428571428571402,1.45585,,,
VT,3.0,3.0,0.5643,0.0002110946799999,-51.92219655236363,2020-05-03,15.857142857142902,1.26404,,,
WA,3.0,3.0,0.4004,0.0,-46.11390865340461,2020-05-03,16.1428571428571,0.8413719999999999,,,
WI,2.0,3.0,0.6256,0.0,-20.480141827938304,2020-05-03,13.857142857142902,3.34975,,,
WV,1.0,3.0,0.5255,0.0,-6.499501225433085,2020-05-03,11.0,0.463619,,,
WY,3.0,3.0,0.1793,0.0,6.077825720401823,2020-05-03,9.428571428571429,0.8695649999999999,,,
AK,2.0,3.0,0.446,1.6109945808e-05,-11.56889676752446,2020-05-10,8.571428571428571,1.08581,,,
AL,3.0,3.0,0.4556,0.0,1.8642323403898675,2020-05-10,9.571428571428571,1.1044200000000002,,,
AR,3.0,3.0,0.5608,0.0,4.226192643024533,2020-05-10,8.142857142857139,1.1080299999999998,,,
AZ,1.0,3.0,0.3429999999999999,0.0,-28.584410971744777,2020-05-10,12.5714285714286,1.22038,,,
CA,3.0,3.0,0.6463,2.83395e-05,-48.539381137303295,2020-05-10,16.7142857142857,1.13358,,,
CO,3.0,3.0,0.5676,0.0,-38.3649986362873,2020-05-10,13.857142857142902,0.740088,,,
CT,3.0,3.0,0.7094,0.0,-43.89840671710972,2020-05-10,16.571428571428598,1.26434,,,
DE,2.0,3.0,0.6517,0.0,-37.66313028602134,2020-05-10,15.142857142857098,0.0,,,
GA,3.0,3.0,0.5084,6.99615e-05,-29.001928766782815,2020-05-10,12.4285714285714,1.5547,,,
HI,2.0,3.0,0.601,0.0,-69.85608083191647,2020-05-10,17.428571428571402,0.246653,,,
